cluster_label	best_chi2_id	best_chi2_val	avg_chi2	closest_to_centroid_id	dist_of_closest_to_centroid	num_vectors
259				v_285	421.803105644881	2
124				v_124	195.34815565085233	2
205				v_210	78.38644202235425	2
150				v_151	477.17639721863776	2
270				v_275	213.298912190523	2
269				v_286	127.27302754837741	2
175				v_177	108.77517782325187	2
255				v_259	1487.1857364414273	2
235				v_239	0.0	1
234				v_238	0.0	1
233				v_237	0.0	1
257				v_261	0.0	1
232				v_236	0.0	1
231				v_235	0.0	1
230				v_234	0.0	1
229				v_233	0.0	1
236				v_240	0.0	1
227				v_231	0.0	1
226				v_230	0.0	1
225				v_229	0.0	1
224				v_228	0.0	1
258				v_262	0.0	1
223				v_227	0.0	1
222				v_226	0.0	1
221				v_225	0.0	1
220				v_224	0.0	1
228				v_232	0.0	1
253				v_257	0.0	1
252				v_256	0.0	1
251				v_255	0.0	1
254				v_258	0.0	1
250				v_254	0.0	1
249				v_253	0.0	1
248				v_252	0.0	1
247				v_251	0.0	1
237				v_241	0.0	1
245				v_249	0.0	1
244				v_248	0.0	1
243				v_247	0.0	1
242				v_246	0.0	1
241				v_245	0.0	1
240				v_244	0.0	1
239				v_243	0.0	1
256				v_260	0.0	1
238				v_242	0.0	1
246				v_250	0.0	1
195				v_198	0.0	1
194				v_197	0.0	1
193				v_196	0.0	1
192				v_195	0.0	1
191				v_194	0.0	1
190				v_193	0.0	1
189				v_192	0.0	1
188				v_191	0.0	1
187				v_190	0.0	1
219				v_223	0.0	1
185				v_188	0.0	1
184				v_187	0.0	1
183				v_186	0.0	1
182				v_185	0.0	1
181				v_184	0.0	1
180				v_183	0.0	1
179				v_182	0.0	1
178				v_181	0.0	1
177				v_180	0.0	1
176				v_179	0.0	1
186				v_189	0.0	1
218				v_222	0.0	1
217				v_221	0.0	1
216				v_220	0.0	1
215				v_219	0.0	1
214				v_218	0.0	1
213				v_217	0.0	1
212				v_216	0.0	1
211				v_215	0.0	1
210				v_214	0.0	1
209				v_213	0.0	1
196				v_199	0.0	1
207				v_211	0.0	1
206				v_209	0.0	1
204				v_207	0.0	1
203				v_206	0.0	1
202				v_205	0.0	1
201				v_204	0.0	1
200				v_203	0.0	1
199				v_202	0.0	1
198				v_201	0.0	1
197				v_200	0.0	1
208				v_212	0.0	1
341				v_349	0.0	1
340				v_348	0.0	1
339				v_347	0.0	1
338				v_346	0.0	1
337				v_345	0.0	1
336				v_344	0.0	1
335				v_343	0.0	1
334				v_342	0.0	1
332				v_340	0.0	1
260				v_265	0.0	1
315				v_323	0.0	1
314				v_322	0.0	1
313				v_321	0.0	1
312				v_320	0.0	1
311				v_319	0.0	1
310				v_318	0.0	1
309				v_317	0.0	1
308				v_316	0.0	1
307				v_315	0.0	1
306				v_314	0.0	1
316				v_324	0.0	1
27				v_27	0.0	1
26				v_26	0.0	1
25				v_25	0.0	1
24				v_24	0.0	1
23				v_23	0.0	1
22				v_22	0.0	1
21				v_21	0.0	1
20				v_20	0.0	1
19				v_19	0.0	1
18				v_18	0.0	1
342				v_350	0.0	1
16				v_16	0.0	1
15				v_15	0.0	1
14				v_14	0.0	1
348				v_356	0.0	1
0				v_0	0.0	1
347				v_355	0.0	1
346				v_354	0.0	1
345				v_353	0.0	1
344				v_352	0.0	1
343				v_351	0.0	1
17				v_17	0.0	1
282				v_290	0.0	1
281				v_289	0.0	1
280				v_288	0.0	1
279				v_284	0.0	1
278				v_283	0.0	1
277				v_282	0.0	1
276				v_281	0.0	1
275				v_280	0.0	1
274				v_279	0.0	1
305				v_313	0.0	1
272				v_277	0.0	1
271				v_276	0.0	1
268				v_273	0.0	1
267				v_272	0.0	1
266				v_271	0.0	1
265				v_270	0.0	1
264				v_269	0.0	1
263				v_268	0.0	1
262				v_267	0.0	1
261				v_266	0.0	1
273				v_278	0.0	1
304				v_312	0.0	1
303				v_311	0.0	1
302				v_310	0.0	1
301				v_309	0.0	1
300				v_308	0.0	1
299				v_307	0.0	1
298				v_306	0.0	1
297				v_305	0.0	1
296				v_304	0.0	1
295				v_303	0.0	1
283				v_291	0.0	1
293				v_301	0.0	1
292				v_300	0.0	1
291				v_299	0.0	1
290				v_298	0.0	1
289				v_297	0.0	1
288				v_296	0.0	1
287				v_295	0.0	1
286				v_294	0.0	1
285				v_293	0.0	1
284				v_292	0.0	1
294				v_302	0.0	1
63				v_63	0.0	1
62				v_62	0.0	1
61				v_61	0.0	1
60				v_60	0.0	1
59				v_59	0.0	1
58				v_58	0.0	1
57				v_57	0.0	1
56				v_56	0.0	1
55				v_55	0.0	1
174				v_176	0.0	1
53				v_53	0.0	1
52				v_52	0.0	1
51				v_51	0.0	1
50				v_50	0.0	1
49				v_49	0.0	1
48				v_48	0.0	1
47				v_47	0.0	1
46				v_46	0.0	1
45				v_45	0.0	1
44				v_44	0.0	1
54				v_54	0.0	1
85				v_85	0.0	1
84				v_84	0.0	1
83				v_83	0.0	1
82				v_82	0.0	1
81				v_81	0.0	1
80				v_80	0.0	1
79				v_79	0.0	1
78				v_78	0.0	1
77				v_77	0.0	1
76				v_76	0.0	1
64				v_64	0.0	1
74				v_74	0.0	1
73				v_73	0.0	1
72				v_72	0.0	1
71				v_71	0.0	1
70				v_70	0.0	1
69				v_69	0.0	1
68				v_68	0.0	1
67				v_67	0.0	1
66				v_66	0.0	1
65				v_65	0.0	1
75				v_75	0.0	1
324				v_332	0.0	1
323				v_331	0.0	1
322				v_330	0.0	1
321				v_329	0.0	1
320				v_328	0.0	1
319				v_327	0.0	1
318				v_326	0.0	1
1				v_1	0.0	1
333				v_341	0.0	1
28				v_28	0.0	1
43				v_43	0.0	1
12				v_12	0.0	1
11				v_11	0.0	1
10				v_10	0.0	1
9				v_9	0.0	1
8				v_8	0.0	1
7				v_7	0.0	1
6				v_6	0.0	1
5				v_5	0.0	1
4				v_4	0.0	1
3				v_3	0.0	1
317				v_325	0.0	1
42				v_42	0.0	1
41				v_41	0.0	1
40				v_40	0.0	1
39				v_39	0.0	1
38				v_38	0.0	1
37				v_37	0.0	1
36				v_36	0.0	1
35				v_35	0.0	1
34				v_34	0.0	1
33				v_33	0.0	1
325				v_333	0.0	1
31				v_31	0.0	1
30				v_30	0.0	1
29				v_29	0.0	1
13				v_13	0.0	1
331				v_339	0.0	1
330				v_338	0.0	1
329				v_337	0.0	1
328				v_336	0.0	1
327				v_335	0.0	1
326				v_334	0.0	1
32				v_32	0.0	1
152				v_153	0.0	1
151				v_152	0.0	1
149				v_150	0.0	1
148				v_149	0.0	1
147				v_148	0.0	1
146				v_147	0.0	1
145				v_146	0.0	1
144				v_145	0.0	1
143				v_144	0.0	1
86				v_86	0.0	1
141				v_142	0.0	1
140				v_141	0.0	1
139				v_140	0.0	1
138				v_139	0.0	1
137				v_138	0.0	1
136				v_137	0.0	1
135				v_136	0.0	1
134				v_135	0.0	1
133				v_134	0.0	1
132				v_133	0.0	1
142				v_143	0.0	1
2				v_2	0.0	1
173				v_175	0.0	1
172				v_174	0.0	1
171				v_173	0.0	1
170				v_172	0.0	1
169				v_171	0.0	1
168				v_170	0.0	1
167				v_169	0.0	1
166				v_168	0.0	1
165				v_167	0.0	1
153				v_154	0.0	1
163				v_164	0.0	1
162				v_163	0.0	1
161				v_162	0.0	1
160				v_161	0.0	1
159				v_160	0.0	1
158				v_159	0.0	1
157				v_158	0.0	1
156				v_157	0.0	1
155				v_156	0.0	1
154				v_155	0.0	1
164				v_166	0.0	1
107				v_107	0.0	1
106				v_106	0.0	1
105				v_105	0.0	1
104				v_104	0.0	1
103				v_103	0.0	1
102				v_102	0.0	1
101				v_101	0.0	1
100				v_100	0.0	1
99				v_99	0.0	1
98				v_98	0.0	1
131				v_132	0.0	1
96				v_96	0.0	1
95				v_95	0.0	1
94				v_94	0.0	1
93				v_93	0.0	1
92				v_92	0.0	1
91				v_91	0.0	1
90				v_90	0.0	1
89				v_89	0.0	1
88				v_88	0.0	1
87				v_87	0.0	1
97				v_97	0.0	1
130				v_131	0.0	1
129				v_130	0.0	1
128				v_129	0.0	1
127				v_128	0.0	1
126				v_126	0.0	1
125				v_125	0.0	1
123				v_123	0.0	1
122				v_122	0.0	1
121				v_121	0.0	1
120				v_120	0.0	1
108				v_108	0.0	1
118				v_118	0.0	1
117				v_117	0.0	1
116				v_116	0.0	1
115				v_115	0.0	1
114				v_114	0.0	1
113				v_113	0.0	1
112				v_112	0.0	1
111				v_111	0.0	1
110				v_110	0.0	1
109				v_109	0.0	1
119				v_119	0.0	1
